49153,<blockquote>  <p><strong>Possible Duplicate:</strong><br>  <a href="https://stackoverflow.com/questions/179713/how-to-change-the-href-for-a-hyperlink-using-jquery">How to change the href for a hyperlink using jQuery</a>  </p></blockquote><p>I have this link:</p><pre><code>&lt;a id="myLink_33" href="javascript:toggleMe(1);"&gt;Toggle&lt;/a&gt;</code></pre><p>How can I change the <code>href</code> attribute of this link using Javascript/jquery so the link becomes this:</p><pre><code>&lt;a id="myLink_33" href="javascript:toggleMe(0);"&gt;Toggle&lt;/a&gt;</code></pre>,How to change href attribute of a link using Jquery,<javascript><jquery>
51816,<blockquote>  <p><strong>Possible Duplicate:</strong><br>  <a href="https://stackoverflow.com/questions/300522/count-vs-length-vs-size-in-a-collection">count vs length vs size in a collection</a>  </p></blockquote><p>In .NET pretty much all collections have the <code>.Count</code> property.</p><p>Sometimes I wonder if it would be better to have it on <code>Array</code> as well directly though not through <code>ICollection</code>.</p><p>It's just something you make an exception in your mind only for arrays.</p><p>So is it better to be "more correct" or "more uniform" in this case?</p>,Array.Length vs Array.Count,<c#><.net><arrays>
51816,<blockquote>  <p><strong>Possible Duplicate:</strong><br>  <a href="https://stackoverflow.com/questions/36932/how-can-i-represent-an-enum-in-python">How can I represent an 'enum' in Python?</a>  </p></blockquote><p>What's the common practice for enums in Python? I.e. how are they replicated in Python?</p><pre><code>public enum Materials{    Shaded    Shiny    Transparent    Matte}</code></pre>,What's the common practice for enums in Python?,<python><enums>
49153,<blockquote>  <p><strong>Possible Duplicate:</strong><br>  <a href="https://stackoverflow.com/questions/391005/convert-html-css-to-pdf-with-php">Convert HTML + CSS to PDF with PHP?</a>  </p></blockquote><p>Is it possible to convert a HTML page to PDF using PHP and if so how can it be done?</p><p>Specifically the page is an invoice generated dynamically. So I would like it loaded using:</p><pre><code>http://example.com/invoices/3333</code></pre><p>And the HTML output would have to be converted to PDF.</p><p>Any good libraries that do this will be fine.</p>,Converting HTML to PDF using PHP?,<php><pdf><pdf-generation>
49153,<blockquote>  <p><strong>Possible Duplicate:</strong><br>  <a href="https://stackoverflow.com/questions/46898/how-do-i-iterate-over-each-entry-in-a-map">How do I iterate over each Entry in a Map?</a>  </p></blockquote><p>I want to iterate over a <code>TreeMap</code> and for all keys which have a particular value I want them to be added to a new <code>TreeMap</code>. How can I do this?</p>,How to iterate over a TreeMap?,<java><collections><treemap>
51816,<blockquote>  <p><strong>Possible Duplicate:</strong><br>  <a href="https://stackoverflow.com/questions/529424/traverse-a-list-in-reverse-order-in-python">Traverse a list in reverse order in Python</a>  </p></blockquote><p>Is this possible? Doesn't have to be in place just looking for a way to reverse a tuple so I can iterate on it backwards.</p>,How to reverse tuples in Python?,<python><loops><iteration><tuples>
179736,<blockquote>  <p><strong>Possible Duplicate:</strong><br>  <a href="https://stackoverflow.com/questions/847185/convert-a-unix-timestamp-to-time-in-javascript">Convert a Unix timestamp to time in Javascript</a>  </p></blockquote><p>Turn a unix timestamp into 2008-07-17T09:24:17Z</p><p>How to do that?</p>,How do I turn a timestamp into a javascript date object?,<javascript><jquery>
49153,<blockquote>  <p><strong>Possible Duplicates:</strong><br>  <a href="https://stackoverflow.com/questions/1596782/how-to-unset-a-javascript-variable">How to unset a Javascript variable?</a><br>  <a href="https://stackoverflow.com/questions/208105/how-to-remove-a-property-from-a-javascript-object">How to remove a property from a javascript object</a>  </p></blockquote><p>I'm looking for a way to remove/unset the properties of a JS object so they'll no longer come up if I loop through the object doing <code>for (var i in myObject)</code>. How can this be done?</p>,How to delete/unset the properties of a javascript object?,<javascript><jquery>
4883,<blockquote>  <p><strong>See also:</strong> <br/>  <em><a href="https://stackoverflow.com/questions/4950725">How can I see which Git branches are tracking which remote / upstream branch?</a></em></p></blockquote><p>How can I find out which remote branch a local branch is tracking?</p><p>Do I need to parse <code>git config</code> output or is there a command that would do this for me?</p>,Find out which remote branch a local branch is tracking,<git><branch><git-remote>
95592,<h2>Short Question</h2><ul><li>What is the proper way to install <a href="http://pip.readthedocs.org" rel="noreferrer"><code>pip</code></a> <a href="http://virtualenv.openplans.org/" rel="noreferrer"><code>virtualenv</code></a> and <a href="http://packages.python.org/distribute/" rel="noreferrer"><code>distribute</code></a>?</li></ul><h2>Background</h2><p>In <a href="https://stackoverflow.com/questions/4314376/python-egg-file/4314446#4314446">my answer</a> to <a href="https://stackoverflow.com/questions/4314376/python-egg-file">SO question 4314376</a> I recommended using <code>ez_setup</code> so that you could then install <code>pip</code> and <code>virtualenv</code> as follows:</p><pre><code>curl -O http://peak.telecommunity.com/dist/ez_setup.pysudo python ez_setup.pysudo easy_install pipsudo pip install virtualenv</code></pre><p>I originally pulled these instructions from Jesse Noller's blog post <a href="http://jessenoller.com/2009/03/16/so-you-want-to-use-python-on-the-mac/" rel="noreferrer">So you want to use Python on the Mac?</a>. I like the idea of keeping a clean global site-packages directory so the only other packages I install there are  <a href="http://www.doughellmann.com/projects/virtualenvwrapper/" rel="noreferrer"><code>virtualenvwrapper</code></a> and <a href="http://packages.python.org/distribute/" rel="noreferrer"><code>distribute</code></a>. (I recently added <a href="http://packages.python.org/distribute/" rel="noreferrer"><code>distribute</code></a> to my toolbox because of <a href="http://s3.pixane.com/pip_distribute.png" rel="noreferrer">this Python public service announcement</a>. To install these two packages I used:</p><pre><code>sudo pip install virtualenvwrappercurl -O http://python-distribute.org/distribute_setup.pysudo python distribute_setup.py</code></pre><h2>No more setuptools and easy_install</h2><p>To really follow <a href="http://s3.pixane.com/pip_distribute.png" rel="noreferrer">that Python public service announcement</a> on a fresh Python install I would do the following:</p><pre><code>curl -O http://python-distribute.org/distribute_setup.pysudo python distribute_setup.pysudo easy_install pipsudo pip install virtualenvsudo pip install virtualenvwrapper</code></pre><h2>Glyph's Rebuke</h2><p>In a comment to <a href="https://stackoverflow.com/questions/4314376/python-egg-file/4314446#4314446">my answer</a> to <a href="https://stackoverflow.com/questions/4314376/python-egg-file">SO question 4314376</a> SO user <a href="https://stackoverflow.com/users/13564/glyph">Glyph</a> stated:</p><blockquote><p>NO. NEVER EVER do <code>sudo python setup.py install</code> whatever. Write a ~/.pydistutils.cfg that puts your pip installation into ~/.local or something. Especially files named <code>ez_setup.py</code> tend to suck down newer versions of things like setuptools and easy_install which can potentially break other things on your operating system.</p></blockquote><h2>Back to the short question</h2><p>So <a href="https://stackoverflow.com/questions/4314376/python-egg-file/4314446#4314446">Glyph's response</a> leads me to my original question:</p><ul><li>What is the proper way to install <a href="http://pip.readthedocs.org" rel="noreferrer"><code>pip</code></a> <a href="http://virtualenv.openplans.org/" rel="noreferrer"><code>virtualenv</code></a> and <a href="http://packages.python.org/distribute/" rel="noreferrer"><code>distribute</code></a>?</li></ul>,What's the proper way to install pip virtualenv and distribute for Python?,<python><virtualenv><setuptools><distribute>
